quote,author,tags,searchable_text
"“There are three things all wise men fear: the sea in storm, a night with no moon, and the anger of a gentle man.”","Patrick Rothfuss,","['fear', 'name-of-the-wind', 'patrick-rothfuss', 'wisdom']","Quote: “There are three things all wise men fear: the sea in storm, a night with no moon, and the anger of a gentle man.” Author: Patrick Rothfuss, By: Patrick Rothfuss, About: fear Topic: fear Theme: fear About: name-of-the-wind Topic: name-of-the-wind Theme: name-of-the-wind About: patrick-rothfuss Topic: patrick-rothfuss Theme: patrick-rothfuss About: wisdom Topic: wisdom Theme: wisdom"
“No book is really worth reading at the age of ten which is not equally â€“ and often far more â€“ worth reading at the age of fifty and beyond.”,C.S. Lewis,"['age', 'books', 're-reading', 'reading']",Quote: “No book is really worth reading at the age of ten which is not equally â€“ and often far more â€“ worth reading at the age of fifty and beyond.” Author: C.S. Lewis By: C.S. Lewis About: age Topic: age Theme: age About: books Topic: books Theme: books About: re-reading Topic: re-reading Theme: re-reading About: reading Topic: reading Theme: reading book quotes
"“If heâ€™s not calling you, itâ€™s because you are not on his mind. If he creates expectations for you, and then doesnâ€™t follow through on little things, he will do same for big things. Be aware of this and realize that heâ€™s okay with disappointing you. Donâ€™t be with someone who doesnâ€™t do what they say theyâ€™re going to do. If heâ€™s choosing not to make a simple effort that would put you at ease and bring harmony to a recurring fight, then he doesnâ€™t respect your feelings and needs. â€œBusyâ€� is another word for â€œasshole.â€� â€œAssholeâ€� is another word for the guy youâ€™re dating. You deserve a fcking phone call.”",Greg Behrendt,"['busy', 'call', 'dating', 'dating-advice', 'faith', 'greg-behrendt', 'guys', 'he-s-not-just-into-you', 'love', 'marriage', 'romance', 'true']","Quote: “If heâ€™s not calling you, itâ€™s because you are not on his mind. If he creates expectations for you, and then doesnâ€™t follow through on little things, he will do same for big things. Be aware of this and realize that heâ€™s okay with disappointing you. Donâ€™t be with someone who doesnâ€™t do what they say theyâ€™re going to do. If heâ€™s choosing not to make a simple effort that would put you at ease and bring harmony to a recurring fight, then he doesnâ€™t respect your feelings and needs. â€œBusyâ€� is another word for â€œasshole.â€� â€œAssholeâ€� is another word for the guy youâ€™re dating. You deserve a fcking phone call.” Author: Greg Behrendt By: Greg Behrendt About: busy Topic: busy Theme: busy About: call Topic: call Theme: call About: dating Topic: dating Theme: dating About: dating-advice Topic: dating-advice Theme: dating-advice About: faith Topic: faith Theme: faith About: greg-behrendt Topic: greg-behrendt Theme: greg-behrendt About: guys Topic: guys Theme: guys About: he-s-not-just-into-you Topic: he-s-not-just-into-you Theme: he-s-not-just-into-you About: love Topic: love Theme: love About: marriage Topic: marriage Theme: marriage About: romance Topic: romance Theme: romance About: true Topic: true Theme: true"
"“Why do you go away? So that you can come back. So that you can see the place you came from with new eyes and extra colors. And the people there see you differently, too. Coming back to where you started is not the same as never leaving.”","Terry Pratchett,","['adventure', 'change', 'discworld', 'growth', 'travel']","Quote: “Why do you go away? So that you can come back. So that you can see the place you came from with new eyes and extra colors. And the people there see you differently, too. Coming back to where you started is not the same as never leaving.” Author: Terry Pratchett, By: Terry Pratchett, About: adventure Topic: adventure Theme: adventure About: change Topic: change Theme: change About: discworld Topic: discworld Theme: discworld About: growth Topic: growth Theme: growth About: travel Topic: travel Theme: travel"
"“It was love at first sight, at last sight, at ever and ever sight.”","Vladimir Nabokov,","['humbert-humbert', 'love']","Quote: “It was love at first sight, at last sight, at ever and ever sight.” Author: Vladimir Nabokov, By: Vladimir Nabokov, About: humbert-humbert Topic: humbert-humbert Theme: humbert-humbert About: love Topic: love Theme: love love quotes"
"“Resist much, obey little.”","Walt Whitman,",['poetry'],"Quote: “Resist much, obey little.” Author: Walt Whitman, By: Walt Whitman, About: poetry Topic: poetry Theme: poetry"
"“Loyalty to country ALWAYS. Loyalty to government, when it deserves it.”",Mark Twain,"['patriotism', 'politics']","Quote: “Loyalty to country ALWAYS. Loyalty to government, when it deserves it.” Author: Mark Twain By: Mark Twain About: patriotism Topic: patriotism Theme: patriotism About: politics Topic: politics Theme: politics"
"“I like living. I have sometimes been wildly, despairingly, acutely miserable, racked with sorrow; but through it all I still know quite certainly that just to be alive is a grand thing.”",Agatha Christie,['inspirational'],"Quote: “I like living. I have sometimes been wildly, despairingly, acutely miserable, racked with sorrow; but through it all I still know quite certainly that just to be alive is a grand thing.” Author: Agatha Christie By: Agatha Christie About: inspirational Topic: inspirational Theme: inspirational life quotes"
"“If you love somebody, let them go, for if they return, they were always yours. If they don't, they never were.”",Kahlil Gibran,"['life', 'love', 'romance']","Quote: “If you love somebody, let them go, for if they return, they were always yours. If they don't, they never were.” Author: Kahlil Gibran By: Kahlil Gibran About: life Topic: life Theme: life About: love Topic: love Theme: love About: romance Topic: romance Theme: romance love quotes"
“My tastes are simple: I am easily satisfied with the best.”,Winston S. Churchill,"['humor', 'taste']",Quote: “My tastes are simple: I am easily satisfied with the best.” Author: Winston S. Churchill By: Winston S. Churchill About: humor Topic: humor Theme: humor About: taste Topic: taste Theme: taste
“I don't want to die without any scars.”,"Chuck Palahniuk,","['death', 'scars', 'tyler-durden']","Quote: “I don't want to die without any scars.” Author: Chuck Palahniuk, By: Chuck Palahniuk, About: death Topic: death Theme: death About: scars Topic: scars Theme: scars About: tyler-durden Topic: tyler-durden Theme: tyler-durden"
"“Believe in yourself. You are braver than you think, more talented than you know, and capable of more than you imagine.”","Roy T. Bennett,","['achievement', 'believe-in-yourself', 'brave', 'courage', 'inspiration', 'inspirational', 'inspirational-attitude', 'inspirational-life', 'inspirational-quotes', 'inspire', 'inspiring', 'life', 'life-and-living', 'life-lessons', 'life-quotes', 'living', 'motivation', 'motivational', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking', 'talent']","Quote: “Believe in yourself. You are braver than you think, more talented than you know, and capable of more than you imagine.” Author: Roy T. Bennett, By: Roy T. Bennett, About: achievement Topic: achievement Theme: achievement About: believe-in-yourself Topic: believe-in-yourself Theme: believe-in-yourself About: brave Topic: brave Theme: brave About: courage Topic: courage Theme: courage About: inspiration Topic: inspiration Theme: inspiration About: inspirational Topic: inspirational Theme: inspirational About: inspirational-attitude Topic: inspirational-attitude Theme: inspirational-attitude About: inspirational-life Topic: inspirational-life Theme: inspirational-life About: inspirational-quotes Topic: inspirational-quotes Theme: inspirational-quotes About: inspire Topic: inspire Theme: inspire About: inspiring Topic: inspiring Theme: inspiring About: life Topic: life Theme: life About: life-and-living Topic: life-and-living Theme: life-and-living About: life-lessons Topic: life-lessons Theme: life-lessons About: life-quotes Topic: life-quotes Theme: life-quotes About: living Topic: living Theme: living About: motivation Topic: motivation Theme: motivation About: motivational Topic: motivational Theme: motivational About: optimism Topic: optimism Theme: optimism About: optimistic Topic: optimistic Theme: optimistic About: positive Topic: positive Theme: positive About: positive-affirmation Topic: positive-affirmation Theme: positive-affirmation About: positive-life Topic: positive-life Theme: positive-life About: positive-thinking Topic: positive-thinking Theme: positive-thinking About: talent Topic: talent Theme: talent"
"“Truth is stranger than fiction, but it is because Fiction is obliged to stick to possibilities; Truth isn't.”","Mark Twain,","['books', 'truth']","Quote: “Truth is stranger than fiction, but it is because Fiction is obliged to stick to possibilities; Truth isn't.” Author: Mark Twain, By: Mark Twain, About: books Topic: books Theme: books About: truth Topic: truth Theme: truth"
"“If music be the food of love, play on,Give me excess of it; that surfeiting,The appetite may sicken, and so die.”","William Shakespeare,","['music', 'romance', 'unrequited-love']","Quote: “If music be the food of love, play on,Give me excess of it; that surfeiting,The appetite may sicken, and so die.” Author: William Shakespeare, By: William Shakespeare, About: music Topic: music Theme: music About: romance Topic: romance Theme: romance About: unrequited-love Topic: unrequited-love Theme: unrequited-love love quotes"
"“Show me a hero, and I'll write you a tragedy.”",F. Scott Fitzgerald,['f-scott-fitzgerald'],"Quote: “Show me a hero, and I'll write you a tragedy.” Author: F. Scott Fitzgerald By: F. Scott Fitzgerald About: f-scott-fitzgerald Topic: f-scott-fitzgerald Theme: f-scott-fitzgerald"
"“It's a dangerous business, Frodo, going out your door. You step onto the road, and if you don't keep your feet, there's no knowing where you might be swept off to.”","J.R.R. Tolkien,",['wisdom'],"Quote: “It's a dangerous business, Frodo, going out your door. You step onto the road, and if you don't keep your feet, there's no knowing where you might be swept off to.” Author: J.R.R. Tolkien, By: J.R.R. Tolkien, About: wisdom Topic: wisdom Theme: wisdom"
"“I do not fear death. I had been dead for billions and billions of years before I was born, and had not suffered the slightest inconvenience from it.”",Mark Twain,"['death', 'inspirational']","Quote: “I do not fear death. I had been dead for billions and billions of years before I was born, and had not suffered the slightest inconvenience from it.” Author: Mark Twain By: Mark Twain About: death Topic: death Theme: death About: inspirational Topic: inspirational Theme: inspirational"
“Angry people are not always wise.”,"Jane Austen,","['anger', 'jane-austen', 'wisdom']","Quote: “Angry people are not always wise.” Author: Jane Austen, By: Jane Austen, About: anger Topic: anger Theme: anger About: jane-austen Topic: jane-austen Theme: jane-austen About: wisdom Topic: wisdom Theme: wisdom"
"“By three methods we may learn wisdom: First, by reflection, which is noblest; Second, by imitation, which is easiest; and third by experience, which is the bitterest.”",Confucious,['wisdom'],"Quote: “By three methods we may learn wisdom: First, by reflection, which is noblest; Second, by imitation, which is easiest; and third by experience, which is the bitterest.” Author: Confucious By: Confucious About: wisdom Topic: wisdom Theme: wisdom"
"“What is an ""instant"" death anyway? How long is an instant? Is it one second? Ten? The pain of those seconds must have been awful as her heart burst and her lungs collapsed and there was no air and no blood to her brain and only raw panic. What the hell is instant? Nothing is instant. Instant rice takes five minutes, instant pudding an hour. I doubt that an instant of blinding pain feels particularly instantaneous.”","John Green,",['looking-for-alaska'],"Quote: “What is an ""instant"" death anyway? How long is an instant? Is it one second? Ten? The pain of those seconds must have been awful as her heart burst and her lungs collapsed and there was no air and no blood to her brain and only raw panic. What the hell is instant? Nothing is instant. Instant rice takes five minutes, instant pudding an hour. I doubt that an instant of blinding pain feels particularly instantaneous.” Author: John Green, By: John Green, About: looking-for-alaska Topic: looking-for-alaska Theme: looking-for-alaska love quotes"
"“I am not sure exactly what heaven will be like, but I know that when we die and it comes time for God to judge us, he will not ask, 'How many good things have you done in your life?' rather he will ask, 'How much love did you put into what you did?”",Mother Teresa,"['inspirational', 'love']","Quote: “I am not sure exactly what heaven will be like, but I know that when we die and it comes time for God to judge us, he will not ask, 'How many good things have you done in your life?' rather he will ask, 'How much love did you put into what you did?” Author: Mother Teresa By: Mother Teresa About: inspirational Topic: inspirational Theme: inspirational About: love Topic: love Theme: love love quotes life quotes"
“To be a Christian means to forgive the inexcusable because God has forgiven the inexcusable in you.”,C.S. Lewis,"['christianity', 'forgiveness', 'god']",Quote: “To be a Christian means to forgive the inexcusable because God has forgiven the inexcusable in you.” Author: C.S. Lewis By: C.S. Lewis About: christianity Topic: christianity Theme: christianity About: forgiveness Topic: forgiveness Theme: forgiveness About: god Topic: god Theme: god
"“In the case of good books, the point is not to see how many of them you can get through, but rather how many can get through to you.”",Mortimer J. Adler,"['books', 'reading']","Quote: “In the case of good books, the point is not to see how many of them you can get through, but rather how many can get through to you.” Author: Mortimer J. Adler By: Mortimer J. Adler About: books Topic: books Theme: books About: reading Topic: reading Theme: reading book quotes"
"“She is too fond of books, and it has turned her brain.”","Louisa May Alcott,",['books'],"Quote: “She is too fond of books, and it has turned her brain.” Author: Louisa May Alcott, By: Louisa May Alcott, About: books Topic: books Theme: books book quotes"
"“You haven't got a letter on yours,"" George observed. ""I suppose she thinks you don't forget your name. But we're not stupid-we know we're called Gred and Forge.”","J.K. Rowling,",['humor'],"Quote: “You haven't got a letter on yours,"" George observed. ""I suppose she thinks you don't forget your name. But we're not stupid-we know we're called Gred and Forge.” Author: J.K. Rowling, By: J.K. Rowling, About: humor Topic: humor Theme: humor"
"“Will looked horrified. ""What kind of monster could possibly hate chocolate?”","Cassandra Clare,","['chocolate', 'monsters']","Quote: “Will looked horrified. ""What kind of monster could possibly hate chocolate?” Author: Cassandra Clare, By: Cassandra Clare, About: chocolate Topic: chocolate Theme: chocolate About: monsters Topic: monsters Theme: monsters"
“No medicine cures what happiness cannot.”,Gabriel GarcÃ­a MÃ¡rquez,['happiness'],Quote: “No medicine cures what happiness cannot.” Author: Gabriel GarcÃ­a MÃ¡rquez By: Gabriel GarcÃ­a MÃ¡rquez About: happiness Topic: happiness Theme: happiness
"“It's a metaphor, see: You put the killing thing right between your teeth, but you don't give it the power to do its killing.”","John Green,","['john-green', 'the-fault-in-our-stars']","Quote: “It's a metaphor, see: You put the killing thing right between your teeth, but you don't give it the power to do its killing.” Author: John Green, By: John Green, About: john-green Topic: john-green Theme: john-green About: the-fault-in-our-stars Topic: the-fault-in-our-stars Theme: the-fault-in-our-stars"
"“I am a badass, and I recognize that you, too, are a badass.”",Cassandra Clare,['simon'],"Quote: “I am a badass, and I recognize that you, too, are a badass.” Author: Cassandra Clare By: Cassandra Clare About: simon Topic: simon Theme: simon"
"“because nerds like us are allowed to be unironically enthusiastic about stuff. Nerds are allowed to love stuff, like jump-up-and-down-in-the-chair-canâ€™t-control-yourself love it. Hank, when people call people nerds, mostly what theyâ€™re saying is â€˜you like stuff.â€™ Which is just not a good insult at all. Like, â€˜you are too enthusiastic about the miracle of human consciousnessâ€™.”",John Green,['nerdfighters'],"Quote: “because nerds like us are allowed to be unironically enthusiastic about stuff. Nerds are allowed to love stuff, like jump-up-and-down-in-the-chair-canâ€™t-control-yourself love it. Hank, when people call people nerds, mostly what theyâ€™re saying is â€˜you like stuff.â€™ Which is just not a good insult at all. Like, â€˜you are too enthusiastic about the miracle of human consciousnessâ€™.” Author: John Green By: John Green About: nerdfighters Topic: nerdfighters Theme: nerdfighters love quotes"
"“Donâ€™t waste your time in anger, regrets, worries, and grudges. Life is too short to be unhappy.”",Roy T. Bennett,"['anger', 'grudge', 'happiness', 'happy', 'inspiration', 'inspirational', 'inspirational-quotes', 'inspire', 'inspiring', 'life', 'life-quotes', 'living', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking', 'regret', 'time', 'worry']","Quote: “Donâ€™t waste your time in anger, regrets, worries, and grudges. Life is too short to be unhappy.” Author: Roy T. Bennett By: Roy T. Bennett About: anger Topic: anger Theme: anger About: grudge Topic: grudge Theme: grudge About: happiness Topic: happiness Theme: happiness About: happy Topic: happy Theme: happy About: inspiration Topic: inspiration Theme: inspiration About: inspirational Topic: inspirational Theme: inspirational About: inspirational-quotes Topic: inspirational-quotes Theme: inspirational-quotes About: inspire Topic: inspire Theme: inspire About: inspiring Topic: inspiring Theme: inspiring About: life Topic: life Theme: life About: life-quotes Topic: life-quotes Theme: life-quotes About: living Topic: living Theme: living About: optimism Topic: optimism Theme: optimism About: optimistic Topic: optimistic Theme: optimistic About: positive Topic: positive Theme: positive About: positive-affirmation Topic: positive-affirmation Theme: positive-affirmation About: positive-life Topic: positive-life Theme: positive-life About: positive-thinking Topic: positive-thinking Theme: positive-thinking About: regret Topic: regret Theme: regret About: time Topic: time Theme: time About: worry Topic: worry Theme: worry life quotes"
“Fiction is the truth inside the lie.”,Stephen King,['writing'],Quote: “Fiction is the truth inside the lie.” Author: Stephen King By: Stephen King About: writing Topic: writing Theme: writing
"“The town was paper, but the memories were not.”","John Green,",['memories'],"Quote: “The town was paper, but the memories were not.” Author: John Green, By: John Green, About: memories Topic: memories Theme: memories"
"“The fact that we live at the bottom of a deep gravity well, on the surface of a gas covered planet going around a nuclear fireball 90 million miles away and think this to be normal is obviously some indication of how skewed our perspective tends to be.”","Douglas Adams,","['humor', 'perspective', 'science']","Quote: “The fact that we live at the bottom of a deep gravity well, on the surface of a gas covered planet going around a nuclear fireball 90 million miles away and think this to be normal is obviously some indication of how skewed our perspective tends to be.” Author: Douglas Adams, By: Douglas Adams, About: humor Topic: humor Theme: humor About: perspective Topic: perspective Theme: perspective About: science Topic: science Theme: science"
“My nightmares are usually about losing you. I'm okay once I realize you're here.”,"Suzanne Collins,",['romantic'],"Quote: “My nightmares are usually about losing you. I'm okay once I realize you're here.” Author: Suzanne Collins, By: Suzanne Collins, About: romantic Topic: romantic Theme: romantic"
"“And now these three remain: faith, hope and love. But the greatest of these is love.”","Anonymous,","['faith', 'god', 'hope', 'love']","Quote: “And now these three remain: faith, hope and love. But the greatest of these is love.” Author: Anonymous, By: Anonymous, About: faith Topic: faith Theme: faith About: god Topic: god Theme: god About: hope Topic: hope Theme: hope About: love Topic: love Theme: love love quotes"
“Don't tell me the moon is shining; show me the glint of light on broken glass.”,Anton Chekhov,"['broken-glass', 'glass', 'moon', 'moonshine', 'show-don-t-tell', 'writing']",Quote: “Don't tell me the moon is shining; show me the glint of light on broken glass.” Author: Anton Chekhov By: Anton Chekhov About: broken-glass Topic: broken-glass Theme: broken-glass About: glass Topic: glass Theme: glass About: moon Topic: moon Theme: moon About: moonshine Topic: moonshine Theme: moonshine About: show-don-t-tell Topic: show-don-t-tell Theme: show-don-t-tell About: writing Topic: writing Theme: writing
"“Weâ€™re all seeking that special person who is right for us. But if youâ€™ve been through enough relationships, you begin to suspect thereâ€™s no right person, just different flavors of wrong. Why is this? Because you yourself are wrong in some way, and you seek out partners who are wrong in some complementary way. But it takes a lot of living to grow fully into your own wrongness. And it isnâ€™t until you finally run up against your deepest demons, your unsolvable problemsâ€”the ones that make you truly who you areâ€”that weâ€™re ready to find a lifelong mate. Only then do you finally know what youâ€™re looking for. Youâ€™re looking for the wrong person. But not just any wrong person: it's got to be the right wrong personâ€”someone you lovingly gaze upon and think, â€œThis is the problem I want to have.â€�I will find that special person who is wrong for me in just the right way.”","Andrew  Boyd,","['being-loved', 'completion', 'inspirational', 'love', 'relationships']","Quote: “Weâ€™re all seeking that special person who is right for us. But if youâ€™ve been through enough relationships, you begin to suspect thereâ€™s no right person, just different flavors of wrong. Why is this? Because you yourself are wrong in some way, and you seek out partners who are wrong in some complementary way. But it takes a lot of living to grow fully into your own wrongness. And it isnâ€™t until you finally run up against your deepest demons, your unsolvable problemsâ€”the ones that make you truly who you areâ€”that weâ€™re ready to find a lifelong mate. Only then do you finally know what youâ€™re looking for. Youâ€™re looking for the wrong person. But not just any wrong person: it's got to be the right wrong personâ€”someone you lovingly gaze upon and think, â€œThis is the problem I want to have.â€�I will find that special person who is wrong for me in just the right way.” Author: Andrew  Boyd, By: Andrew  Boyd, About: being-loved Topic: being-loved Theme: being-loved About: completion Topic: completion Theme: completion About: inspirational Topic: inspirational Theme: inspirational About: love Topic: love Theme: love About: relationships Topic: relationships Theme: relationships life quotes book quotes"
“The road to hell is paved with adverbs.”,"Stephen King,",['writing'],"Quote: “The road to hell is paved with adverbs.” Author: Stephen King, By: Stephen King, About: writing Topic: writing Theme: writing"
"“Itâ€™s only after youâ€™ve stepped outside your comfort zone that you begin to change, grow, and transform.”",Roy T. Bennett,"['change', 'focus', 'grow', 'growth', 'inspiration', 'inspirational', 'inspirational-quotes', 'inspire', 'inspiring', 'leader', 'leaders', 'leadership', 'life', 'life-quotes', 'living', 'motivation', 'motivational', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking', 'stay-focused', 'step-out-of-comfort-zone', 'transform']","Quote: “Itâ€™s only after youâ€™ve stepped outside your comfort zone that you begin to change, grow, and transform.” Author: Roy T. Bennett By: Roy T. Bennett About: change Topic: change Theme: change About: focus Topic: focus Theme: focus About: grow Topic: grow Theme: grow About: growth Topic: growth Theme: growth About: inspiration Topic: inspiration Theme: inspiration About: inspirational Topic: inspirational Theme: inspirational About: inspirational-quotes Topic: inspirational-quotes Theme: inspirational-quotes About: inspire Topic: inspire Theme: inspire About: inspiring Topic: inspiring Theme: inspiring About: leader Topic: leader Theme: leader About: leaders Topic: leaders Theme: leaders About: leadership Topic: leadership Theme: leadership About: life Topic: life Theme: life About: life-quotes Topic: life-quotes Theme: life-quotes About: living Topic: living Theme: living About: motivation Topic: motivation Theme: motivation About: motivational Topic: motivational Theme: motivational About: optimism Topic: optimism Theme: optimism About: optimistic Topic: optimistic Theme: optimistic About: positive Topic: positive Theme: positive About: positive-affirmation Topic: positive-affirmation Theme: positive-affirmation About: positive-life Topic: positive-life Theme: positive-life About: positive-thinking Topic: positive-thinking Theme: positive-thinking About: stay-focused Topic: stay-focused Theme: stay-focused About: step-out-of-comfort-zone Topic: step-out-of-comfort-zone Theme: step-out-of-comfort-zone About: transform Topic: transform Theme: transform"
"“Wow,"" Thalia muttered. ""Apollo is hot."" ""He's the sun god,"" I said.""That's not what I meant.”","Rick Riordan,","['apollo', 'gods', 'hot', 'olympians', 'percy-jackson', 'sun', 'thalia']","Quote: “Wow,"" Thalia muttered. ""Apollo is hot."" ""He's the sun god,"" I said.""That's not what I meant.” Author: Rick Riordan, By: Rick Riordan, About: apollo Topic: apollo Theme: apollo About: gods Topic: gods Theme: gods About: hot Topic: hot Theme: hot About: olympians Topic: olympians Theme: olympians About: percy-jackson Topic: percy-jackson Theme: percy-jackson About: sun Topic: sun Theme: sun About: thalia Topic: thalia Theme: thalia"
"“When he shall die,Take him and cut him out in little stars,And he will make the face of heaven so fineThat all the world will be in love with nightAnd pay no worship to the garish sun.”","William Shakespeare,","['death', 'light', 'stars']","Quote: “When he shall die,Take him and cut him out in little stars,And he will make the face of heaven so fineThat all the world will be in love with nightAnd pay no worship to the garish sun.” Author: William Shakespeare, By: William Shakespeare, About: death Topic: death Theme: death About: light Topic: light Theme: light About: stars Topic: stars Theme: stars love quotes"
"“Love is a fire. But whether it is going to warm your hearth or burn down your house, you can never tell.”",Joan Crawford,['love'],"Quote: “Love is a fire. But whether it is going to warm your hearth or burn down your house, you can never tell.” Author: Joan Crawford By: Joan Crawford About: love Topic: love Theme: love love quotes"
“Fear doesn't shut you down; it wakes you up”,"Veronica Roth,","['divergent', 'fear']","Quote: “Fear doesn't shut you down; it wakes you up” Author: Veronica Roth, By: Veronica Roth, About: divergent Topic: divergent Theme: divergent About: fear Topic: fear Theme: fear"
"“Why do people have to be this lonely? What's the point of it all? Millions of people in this world, all of them yearning, looking to others to satisfy them, yet isolating themselves. Why? Was the earth put here just to nourish human loneliness?”","Haruki Murakami,","['isolation', 'loneliness', 'sadness']","Quote: “Why do people have to be this lonely? What's the point of it all? Millions of people in this world, all of them yearning, looking to others to satisfy them, yet isolating themselves. Why? Was the earth put here just to nourish human loneliness?” Author: Haruki Murakami, By: Haruki Murakami, About: isolation Topic: isolation Theme: isolation About: loneliness Topic: loneliness Theme: loneliness About: sadness Topic: sadness Theme: sadness"
"“The most important things are the hardest to say. They are the things you get ashamed of, because words diminish them -- words shrink things that seemed limitless when they were in your head to no more than living size when they're brought out. But it's more than that, isn't it? The most important things lie too close to wherever your secret heart is buried, like landmarks to a treasure your enemies would love to steal away. And you may make revelations that cost you dearly only to have people look at you in a funny way, not understanding what you've said at all, or why you thought it was so important that you almost cried while you were saying it. That's the worst, I think. When the secret stays locked within not for want of a teller but for want of an understanding ear.”",Stephen King,['writing'],"Quote: “The most important things are the hardest to say. They are the things you get ashamed of, because words diminish them -- words shrink things that seemed limitless when they were in your head to no more than living size when they're brought out. But it's more than that, isn't it? The most important things lie too close to wherever your secret heart is buried, like landmarks to a treasure your enemies would love to steal away. And you may make revelations that cost you dearly only to have people look at you in a funny way, not understanding what you've said at all, or why you thought it was so important that you almost cried while you were saying it. That's the worst, I think. When the secret stays locked within not for want of a teller but for want of an understanding ear.” Author: Stephen King By: Stephen King About: writing Topic: writing Theme: writing love quotes"
"“Love conquers all,"" Aphrodite promised. ""Look at Helen and Paris. Did they let anything come between them?""""Didn't they start the Trojan War and get thousands of people killed?""""Pfft. That's not the point. Follow your heart.”","Rick Riordan,","['humor', 'true-love']","Quote: “Love conquers all,"" Aphrodite promised. ""Look at Helen and Paris. Did they let anything come between them?""""Didn't they start the Trojan War and get thousands of people killed?""""Pfft. That's not the point. Follow your heart.” Author: Rick Riordan, By: Rick Riordan, About: humor Topic: humor Theme: humor About: true-love Topic: true-love Theme: true-love love quotes"
“You do not write your life with words...You write it with actions. What you think is not important. It is only important what you do.”,"Patrick Ness,","['philosophy', 'wisdom']","Quote: “You do not write your life with words...You write it with actions. What you think is not important. It is only important what you do.” Author: Patrick Ness, By: Patrick Ness, About: philosophy Topic: philosophy Theme: philosophy About: wisdom Topic: wisdom Theme: wisdom life quotes"
“Maybe 'okay' will be our 'always”,"John Green,","['augustus-waters', 'hazel-grace']","Quote: “Maybe 'okay' will be our 'always” Author: John Green, By: John Green, About: augustus-waters Topic: augustus-waters Theme: augustus-waters About: hazel-grace Topic: hazel-grace Theme: hazel-grace"
“Freedom is not worth having if it does not include the freedom to make mistakes.”,Mahatma Gandhi,"['freedom', 'humanity', 'mistakes']",Quote: “Freedom is not worth having if it does not include the freedom to make mistakes.” Author: Mahatma Gandhi By: Mahatma Gandhi About: freedom Topic: freedom Theme: freedom About: humanity Topic: humanity Theme: humanity About: mistakes Topic: mistakes Theme: mistakes
"“Don't let the expectations and opinions of other people affect your decisions. It's your life, not theirs. Do what matters most to you; do what makes you feel alive and happy. Don't let the expectations and ideas of others limit who you are. If you let others tell you who you are, you are living their reality â€” not yours. There is more to life than pleasing people. There is much more to life than following others' prescribed path. There is so much more to life than what you experience right now. You need to decide who you are for yourself. Become a whole being. Adventure.”",Roy T. Bennett,"['action', 'adventure', 'authentic-living', 'authentic-self', 'authenticity', 'confidence', 'experience', 'inspiration', 'inspirational', 'inspirational-quotes', 'inspire', 'inspiring', 'life', 'life-quotes', 'living', 'optimism', 'optimistic', 'positive', 'positive-affirmation', 'positive-life', 'positive-thinking', 'who-you-are', 'whole-being']","Quote: “Don't let the expectations and opinions of other people affect your decisions. It's your life, not theirs. Do what matters most to you; do what makes you feel alive and happy. Don't let the expectations and ideas of others limit who you are. If you let others tell you who you are, you are living their reality â€” not yours. There is more to life than pleasing people. There is much more to life than following others' prescribed path. There is so much more to life than what you experience right now. You need to decide who you are for yourself. Become a whole being. Adventure.” Author: Roy T. Bennett By: Roy T. Bennett About: action Topic: action Theme: action About: adventure Topic: adventure Theme: adventure About: authentic-living Topic: authentic-living Theme: authentic-living About: authentic-self Topic: authentic-self Theme: authentic-self About: authenticity Topic: authenticity Theme: authenticity About: confidence Topic: confidence Theme: confidence About: experience Topic: experience Theme: experience About: inspiration Topic: inspiration Theme: inspiration About: inspirational Topic: inspirational Theme: inspirational About: inspirational-quotes Topic: inspirational-quotes Theme: inspirational-quotes About: inspire Topic: inspire Theme: inspire About: inspiring Topic: inspiring Theme: inspiring About: life Topic: life Theme: life About: life-quotes Topic: life-quotes Theme: life-quotes About: living Topic: living Theme: living About: optimism Topic: optimism Theme: optimism About: optimistic Topic: optimistic Theme: optimistic About: positive Topic: positive Theme: positive About: positive-affirmation Topic: positive-affirmation Theme: positive-affirmation About: positive-life Topic: positive-life Theme: positive-life About: positive-thinking Topic: positive-thinking Theme: positive-thinking About: who-you-are Topic: who-you-are Theme: who-you-are About: whole-being Topic: whole-being Theme: whole-being life quotes"
“Life's under no obligation to give us what we expect.”,Margaret Mitchell,"['expectation', 'hope', 'life']",Quote: “Life's under no obligation to give us what we expect.” Author: Margaret Mitchell By: Margaret Mitchell About: expectation Topic: expectation Theme: expectation About: hope Topic: hope Theme: hope About: life Topic: life Theme: life life quotes
"“It's strange because sometimes, I read a book, and I think I am the people in the book.”","Stephen Chbosky,",['books-reading'],"Quote: “It's strange because sometimes, I read a book, and I think I am the people in the book.” Author: Stephen Chbosky, By: Stephen Chbosky, About: books-reading Topic: books-reading Theme: books-reading life quotes book quotes"
